Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Elm
Altitude [m asl]:         958 m
Coordinates:              46° 55.4' N / 9° 10.5' E

Reference date of homogenization:
         Temperature:     01.12.2020
         Precipitation:   01.12.2022

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.08.2024


Year  Month        Temperature      Precipitation  
1906      3               -0.8              115.0  
1906      4                4.5               66.2  
1906      5                9.5              171.3  
1906      6               11.5              119.4  
1906      7               14.2              252.3  
1906      8               14.1              108.6  
1906      9                9.2               74.7  
1906     10                8.2               28.5  
1906     11                1.8              174.8  
1906     12               -6.6              131.6  
1907      1               -4.6              138.2  
1907      2               -6.8               65.7  
1907      3               -2.1              139.9  
1907      4                2.7               90.9  
1907      5               11.1               84.6  
1907      6               12.3               96.6  
1907      7               12.0              181.4  
1907      8               13.9              135.3  
1907      9               11.6               67.0  
1907     10                8.9              147.7  
1907     11                2.9               33.8  
1907     12               -1.3              106.9  
1908      1               -5.1               56.4  
1908      2               -3.4              141.2  
1908      3               -1.0               89.7  
1908      4                2.7               86.5  
1908      5               11.2              164.5  
1908      6               14.7               72.6  
1908      7               13.4              198.5  
1908      8               11.5              146.5  
1908      9                9.3              190.6  
1908     10                6.5                7.3  
1908     11               -0.8               72.1  
1908     12               -3.5               37.8  
1909      1               -7.5               63.1  
1909      2               -6.5               47.5  
1909      3               -1.2               65.6  
1909      4                6.2               85.4  
1909      5                8.6               91.8  
1909      6               10.5              251.7  
1909      7               11.7              173.7  
1909      8               12.8              196.8  
1909      9                9.7               93.5  
1909     10                7.3               78.1  
1909     11               -1.6               78.8  
1909     12               -0.7               93.9  
1910      1               -3.3              160.2  
1910      2               -2.2               96.6  
1910      3                0.4               30.2  
1910      4                4.5              143.2  
1910      5                8.3               90.8  
1910      6               12.7              223.1  
1910      7               12.0              190.3  
1910      8               12.6              192.7  
1910      9                7.8              138.6  
1910     10                7.2               58.3  
1910     11               -0.1              125.6  
1910     12                1.0               99.3  
1911      1               -7.5               20.3  
1911      2               -3.7               91.8  
1911      3                1.1               89.4  
1911      4                3.8               72.0  
1911      5                9.5               94.1  
1911      6               11.8              177.6  
1911      7               16.1               63.5  
1911      8               15.8              101.1  
1911      9               11.5              151.9  
1911     10                6.6              161.7  
